,name,image,origin,publication_types,founded,parent_comp,hq,website
144,CRC Press,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/CRC_Press_logo.svg/300px-CRC_Press_logo.svg.png,United States,Unknown,1973 (as a publishing house),Taylor & Francis,Boca Raton,crcpress.com
145,Crown Publishing Group,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/The_Crown_Publishing_Group_logo.png/220px-The_Crown_Publishing_Group_logo.png,United States,Unknown,1933,Random House,New York City,www.crownpublishing.com
146,Random House,https://upload.wikimedia.org/wikipedia/en/thumb/b/bc/Random_House_logo.svg/220px-Random_House_logo.svg.png,Unknown,Unknown,1927; 94 years ago (1927),Unkown,Unknown,Not available
147,D. Appleton & Company,https://upload.wikimedia.org/wikipedia/commons/6/6a/D._Appleton_%26_Company_logo.jpg,United States,Unknown,[1],Unkown,New York City,Not available
148,D. Reidel,-1,Netherlands,Academic journals,Unknown,Unkown,Dordrecht,Not available
149,Springer Science+Business Media,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Springer.svg/250px-Springer.svg.png,Germany,Unknown,10 May 1842; 179 years ago (1842-05-10) (as Springer-Verlag),Unkown,Berlin,www.springer.com
150,Da Capo Press,-1,United States,Unknown,1964,Hachette Books,Exchange Place,www.dacapopress.com
151,Perseus Books Group,https://upload.wikimedia.org/wikipedia/en/thumb/b/bd/Perseus_Books_Group_Logo.png/220px-Perseus_Books_Group_Logo.png,United States,Unknown,1996; 25 years ago (1996),Lagardère SCA,New York City,www.perseusbooks.com
152,Dalkey Archive Press,-1,United States,Books,1984,Unkown,"Funks Grove, Illinois",www.dalkeyarchive.com
153,David & Charles,-1,Unknown,Book,1 April 1960 (1960-04-01),David & Charles Ltd (since 2000),Exeter,www.davidandcharles.com
154,DAW Books,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/DAW_Books_Logo.jpg/150px-DAW_Books_Logo.jpg,United States,Books,1971; 50 years ago (1971),Penguin Group,New York City,dawbooks.com
155,Donald A. Wollheim,https://upload.wikimedia.org/wikipedia/commons/1/18/Wollheim%2C_Donald.jpg,Unknown,Unknown,Unknown,Unkown,Unknown,Not available
156,Dedalus Books,-1,United Kingdom,Books,30 November 1983,Unkown,Sawtry,www.dedalusbooks.com
157,Del Rey Books,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Del_Rey_logo.png/150px-Del_Rey_logo.png,Unknown,Unknown,1977; 44 years ago (1977),Unkown,Unknown,Not available
158,Random House,https://upload.wikimedia.org/wikipedia/en/thumb/b/bc/Random_House_logo.svg/220px-Random_House_logo.svg.png,Unknown,Unknown,1927; 94 years ago (1927),Unkown,Unknown,Not available
159,Delacorte Press,https://upload.wikimedia.org/wikipedia/en/3/32/Dell_Publishing_logo.png,United States,Books,1921; 100 years ago (1921),Random House,New York City,www.randomhousebooks.com
160,Random House,https://upload.wikimedia.org/wikipedia/en/thumb/b/bc/Random_House_logo.svg/220px-Random_House_logo.svg.png,Unknown,Unknown,1927; 94 years ago (1927),Unkown,Unknown,Not available
161,Deseret Book Company,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Deseret_Book_2010_logo.svg/250px-Deseret_Book_2010_logo.svg.png,United States,"Books, art, teaching aids",1866,Deseret Management Corporation,Salt Lake City,DeseretBook.com
162,Disney Publishing Worldwide,https://upload.wikimedia.org/wikipedia/en/thumb/0/0b/Disney_Publishing_Worldwide_logo.svg/220px-Disney_Publishing_Worldwide_logo.svg.png,Unknown,Unknown,"May 23, 1991; 30 years ago (1991-05-23)",Unkown,Unknown,Not available
163,DK,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/DK_%282020%29.svg/150px-DK_%282020%29.svg.png,United Kingdom,Unknown,London,Penguin Random House,[1],www.dk.com
164,"Dodd, Mead & Co.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Dodd%2C_Mead_%26_Co._Logo.png/120px-Dodd%2C_Mead_%26_Co._Logo.png,United States,Books,1839 (1839),Unkown,New York City,Not available
165,Dorchester Publishing,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Dorchester_publishing.png/150px-Dorchester_publishing.png,United States,"Books, magazines",1971; 50 years ago (1971),Unkown,"200 Madison Avenue, Suite 2000New York City 10016",dorchesterpub.com
166,Doubleday,https://upload.wikimedia.org/wikipedia/en/thumb/f/fe/Doubleday_Publishing.png/220px-Doubleday_Publishing.png,United States,Books,1897; 124 years ago (1897),Penguin Random House,New York City,knopfdoubleday.com/imprint/doubleday/
167,Random House,https://upload.wikimedia.org/wikipedia/en/thumb/b/bc/Random_House_logo.svg/220px-Random_House_logo.svg.png,Unknown,Unknown,1927; 94 years ago (1927),Unkown,Unknown,Not available
168,Douglas & McIntyre,-1,Canada,Books,1971,Unkown,Vancouver,www.douglas-mcintyre.com
169,Dove Medical Press,https://upload.wikimedia.org/wikipedia/en/thumb/7/7c/Dove_Medical_Press.jpg/200px-Dove_Medical_Press.jpg,United Kingdom,Unknown,2003,Unkown,Macclesfield,www.dovepress.com
170,Dover Publications,-1,United States,Books,1941; 80 years ago (1941),LSC Communications,"Mineola, New York",www.doverpublications.com
171,Dreamspinner Press,-1,United States,Books,2007,Unkown,"Tallahassee, Florida",www.dreamspinnerpress.com
172,Dundurn Press,https://upload.wikimedia.org/wikipedia/en/thumb/f/fb/Dundurn_logo.png/160px-Dundurn_logo.png,Canada,Unknown,1972,Unkown,Toronto,www.dundurn.com
173,E. P. Dutton,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Epdutton.png/220px-Epdutton.png,United States,Books,"Boston, Massachusetts",Penguin Group,New York City,penguin.com
174,Penguin Group,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Penguin_Publishing_Group_logo.png/220px-Penguin_Publishing_Group_logo.png,Unknown,Unknown,1935; 86 years ago (1935)(as Penguin Books),Unkown,Unknown,Not available
175,Earthscan,-1,United Kingdom,Books,1982,Routledge,Unknown,www.routledge.com/sustainability/
176,ECW Press,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/ECW_Press.jpg/200px-ECW_Press.jpg,Canada,Books,1974,Unkown,Toronto,www.ecwpress.com
177,Eel Pie Publishing,-1,Unknown,Unknown,1970,Unkown,Unknown,Not available
178,Ellora's Cave,-1,United States,E-books,2000,Unkown,"Akron, Ohio",www.jasminejade.com
179,Elsevier,https://upload.wikimedia.org/wikipedia/en/thumb/6/6a/Elsevier_logo_2019.svg/220px-Elsevier_logo_2019.svg.png,Unknown,Unknown,1880; 141 years ago (1880),Unkown,Unknown,Not available
180,RELX,https://upload.wikimedia.org/wikipedia/en/thumb/b/be/RELX_logo.svg/220px-RELX_logo.svg.png,Unknown,Unknown,1993; 28 years ago (1993)(by merger),Unkown,Unknown,Not available
181,Emerald Group Publishing,-1,United Kingdom,Academic journals,1967,Unkown,Bingley,www.emeraldgrouppublishing.com
182,Etruscan Press,-1,United States,Books,2001,Unkown,"Wilkes-Barre, PA",www.etruscanpress.org
183,Everyman's Library,https://upload.wikimedia.org/wikipedia/en/0/09/Everymans_Library_logo.png,United Kingdom,Books,1906,Random House,"New York City, United States",www.randomhouse.com/knopf/classics/
184,Ewha Womans University Press,https://upload.wikimedia.org/wikipedia/en/thumb/5/5e/Ewha_University_Press_logo.gif/190px-Ewha_University_Press_logo.gif,South Korea,Unknown,1949,Ewha Womans University,Seoul,EUP official website (in Korean)
185,Express Publishing,https://upload.wikimedia.org/wikipedia/en/thumb/b/b6/Express_Publishing_Logo.png/200px-Express_Publishing_Logo.png,Unknown,Unknown,Unknown,Unkown,Unknown,Not available
186,Faber and Faber,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Faber_and_Faber_logo.jpg/100px-Faber_and_Faber_logo.jpg,United Kingdom,Books,1929; 92 years ago (1929),Unkown,"London, England",faber.co.uk
187,FabJob,-1,Unknown,Unknown,Unknown,Unkown,Unknown,Not available
188,Fairview Press,-1,United States,Books,1989,Fairview Health Services,"Minneapolis, Minnesota",Not available
189,Fantagraphics Books,https://upload.wikimedia.org/wikipedia/en/thumb/8/82/Fantagraphics_logo_2020.png/220px-Fantagraphics_logo_2020.png,United States,"Books, comic books, magazines",1976,Unkown,Seattle,fantagraphics.com
190,"Farrar, Straus and Giroux",https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Farrar_Straus_Giroux_logo.gif/220px-Farrar_Straus_Giroux_logo.gif,United States,Unknown,1946; 75 years ago (1946),Macmillan Publishers,Equitable Building,"Farrar, Straus and Giroux"
191,Henry Holt and Company,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Logo_henry_holt.PNG/100px-Logo_henry_holt.PNG,United States,Books,1866; 155 years ago (1866),Georg Von Holtzbrinck Publishing Group,Equitable Building,www.henryholt.com
192,Fearless Books,https://upload.wikimedia.org/wikipedia/en/4/4b/FearlessBooks_WebLogo.png,United States,Unknown,1997,Unkown,"Napa, California",www.fearlessbooks.com
193,Felony & Mayhem Press,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/F_M-logo-one-line-450_original.png/220px-F_M-logo-one-line-450_original.png,United States,Books,2005,Unkown,New York City,felonyandmayhem.com
194,Firebrand Books,-1,United States,Books,[1],Unkown,"Ann Arbor, Michigan",www.firebrandbooks.com
195,Flame Tree Publishing,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Flame-Tree-Publishing-logos_02.jpg/220px-Flame-Tree-Publishing-logos_02.jpg,United Kingdom,Books,1992 (1992),Unkown,London,flametreepublishing.com
196,Focal Press,https://upload.wikimedia.org/wikipedia/en/7/73/Focal_Press_Logo.png,Unknown,Unknown,1938,Routledge,"Waltham, Massachusetts",www.focalpress.com
197,Folio Society,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Folio_Society_logo.jpg/150px-Folio_Society_logo.jpg,United Kingdom,Limited Editions,1947; 74 years ago (1947),Unkown,"4 Maguire Street, London",foliosociety.com
198,Forum Media Group,https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/FORUM_Media_Group_Logo.png/220px-FORUM_Media_Group_Logo.png,Unknown,Unknown,1988,Unkown,Unknown,Not available
199,Four Courts Press,-1,Unknown,Books,1970,Unkown,"Dublin, Ireland",www.fourcourtspress.ie
200,Four Walls Eight Windows,-1,United States,Books,1987,Unkown,New York City,Not available
201,"Frederick Fell Publishers, Inc.",-1,United States,Books,1943,Unkown,"Hollywood, Florida",www.fellpub.com
202,Frederick Warne & Co,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Frederick_Warne_%26_Co_logo.jpg/200px-Frederick_Warne_%26_Co_logo.jpg,United Kingdom,Unknown,July 1865; 156 years ago (July 1865),Penguin Random House,London,www.penguin.com/meet/publishers/frederickwarne/
203,Free Press,-1,United States,Unknown,1947,Simon & Schuster,New York,Not available
204,Funk & Wagnalls,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Funk_%26_Wagnalls_Company_Logo_%28Hoyt%2C_1922%29.jpg/100px-Funk_%26_Wagnalls_Company_Logo_%28Hoyt%2C_1922%29.jpg,United States,Books,1875,Unkown,Unknown,Not available
205,G. P. Putnam's Sons,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Putnam_Logo.png/220px-Putnam_Logo.png,United States,Books,1838; 183 years ago (1838),Penguin Group,New York City,us.penguingroup.com
206,Gaspereau Press,-1,Unknown,Unknown,Unknown,Unkown,Unknown,Not available
207,Gay Men's Press,https://upload.wikimedia.org/wikipedia/en/f/f9/Gay_Men%27s_Press_logo.png,United Kingdom,Books,1979,Unkown,"London, England",www.gmppubs.co.uk
208,Gefen Publishing House,-1,Israel,Books,[1],Unkown,Jerusalem,www.gefenpublishing.com
209,George H. Doran Company,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/George_H._Doran_Company_logo_2.svg/200px-George_H._Doran_Company_logo_2.svg.png,United States,Books,"February 22, 1908 (February 22, 1908)",Unkown,New York City,Not available
210,George Newnes,-1,England,periodicals,1891,Odhams Press,Southampton Street,Not available
211,The Good Book Company,-1,United Kingdom,Books,1991,Unkown,Epsom,www.thegoodbook.com
212,Good News Publishers,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Crossway.svg/232px-Crossway.svg.png,United States,"ESV Bibles, books, tracts",1938,Unkown,"Wheaton, Illinois",www.crossway.org
213,Goops Unlimited,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Gelett_Burgess.jpg/220px-Gelett_Burgess.jpg,Unknown,Unknown,Unknown,Unkown,Unknown,Not available
214,Goose Lane Editions,-1,Canada,Books,1954,Unkown,"Fredericton, New Brunswick",gooselane.com
215,Graywolf Press,https://upload.wikimedia.org/wikipedia/en/7/77/Graywolf_Press_Logo.png,United States,Unknown,1974,Unkown,"Minneapolis, Minnesota",www.graywolfpress.org
216,Greenery Press,https://upload.wikimedia.org/wikipedia/en/thumb/3/3d/Greenery_Press_Logo.svg/150px-Greenery_Press_Logo.svg.png,United States,Books,1991,Unkown,"Emeryville, California",www.greenerypress.com
217,Greenleaf Book Group,-1,United States,Books,1997,Unkown,"Austin, Texas",www.greenleafbookgroup.com
218,Greenwillow Books,https://upload.wikimedia.org/wikipedia/en/thumb/0/00/Harpercollins-logo.svg/300px-Harpercollins-logo.svg.png,United StatesUnited Kingdom,Unknown,1989; 32 years ago (1989),News Corp,195 Broadway,harpercollins.com
219,HarperCollins,https://upload.wikimedia.org/wikipedia/en/thumb/0/00/Harpercollins-logo.svg/300px-Harpercollins-logo.svg.png,United StatesUnited Kingdom,Unknown,1989; 32 years ago (1989),News Corp,195 Broadway,harpercollins.com
220,Greenwood Publishing Group,-1,United States,Unknown,1967,ABC-Clio,"Santa Barbara, California",www.greenwood.com
221,Gregg Press,-1,United States,Books,1963,Unkown,"Upper Saddle River, New Jersey",Not available
222,Grosset & Dunlap,-1,United States,Books,1898,Penguin Group,New York City,us.penguingroup.com
223,Grove Atlantic,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Grove-atlantic-logo.jpg/220px-Grove-atlantic-logo.jpg,United States,Books,Unknown,Unkown,"154 W. 14th Street, New York City, NY 10011",groveatlantic.com
224,Grove Press,https://upload.wikimedia.org/wikipedia/en/f/f9/Grovepress_logo.png,United States,Books,1951,Grove/Atlantic,New York City,groveatlantic.com
225,Hachette Books,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Hachette_Books_logo.svg/220px-Hachette_Books_logo.svg.png,United States,Books,[1],Perseus Books Group,New York City,www.hachettebooks.com
226,Perseus Books Group,https://upload.wikimedia.org/wikipedia/en/thumb/b/bd/Perseus_Books_Group_Logo.png/220px-Perseus_Books_Group_Logo.png,United States,Unknown,1996; 25 years ago (1996),Lagardère SCA,New York City,www.perseusbooks.com
227,Hachette Book Group USA,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Hachette_Books_logo.svg/220px-Hachette_Books_logo.svg.png,United States,Unknown,"March 31, 2006; 15 years ago (2006-03-31)",Hachette Livre,New York City,www.hachettebookgroup.com
228,Hackett Publishing Company,-1,United States,Books,1972,Unkown,Indianapolis,www.hackettpublishing.com
229,Hamish Hamilton,https://upload.wikimedia.org/wikipedia/en/thumb/2/23/Hamish_Hamilton_%28logo%29.png/220px-Hamish_Hamilton_%28logo%29.png,United Kingdom,Books,1931; 90 years ago (1931),Penguin Random House,London,www.penguin.co.uk
230,Penguin Books,https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Penguin_logo.svg/120px-Penguin_logo.svg.png,United Kingdom,Books,1935; 86 years ago (1935),Penguin Random House,City of Westminster,www.penguin.com
231,Harbor Mountain Press,-1,United States,Books,2006,Unkown,"White River Junction, Vermont",www.harbormountainpress.org
232,Harcourt Assessment,-1,United States,testing materials,1921,Harcourt,Unknown,Not available
233,Harcourt,https://upload.wikimedia.org/wikipedia/en/thumb/6/67/Harcourtlogo.jpg/220px-Harcourtlogo.jpg,United States,Books,1919,Unkown,San Diego,www.harcourt.com
234,Harlequin Enterprises,https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Harlequin_Enterprises_logo.png/220px-Harlequin_Enterprises_logo.png,Canada,Books,Winnipeg,HarperCollins,Toronto,www.harlequin.com
235,Harper,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Harper_and_Brothers_publisher_mark_1895.jpg/220px-Harper_and_Brothers_publisher_mark_1895.jpg,Unknown,Unknown,"March 6, 1817; 204 years ago (1817-03-06) (as J. & J. Harper)",HarperCollins,New York City,Not available
236,Harper & Row,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Harper_and_Brothers_publisher_mark_1895.jpg/220px-Harper_and_Brothers_publisher_mark_1895.jpg,Unknown,Unknown,"March 6, 1817; 204 years ago (1817-03-06) (as J. & J. Harper)",HarperCollins,New York City,Not available
237,HarperCollins,https://upload.wikimedia.org/wikipedia/en/thumb/0/00/Harpercollins-logo.svg/300px-Harpercollins-logo.svg.png,United StatesUnited Kingdom,Unknown,1989; 32 years ago (1989),News Corp,195 Broadway,harpercollins.com
238,HarperPrism,https://upload.wikimedia.org/wikipedia/en/thumb/0/00/Harpercollins-logo.svg/300px-Harpercollins-logo.svg.png,United StatesUnited Kingdom,Unknown,1989; 32 years ago (1989),News Corp,195 Broadway,harpercollins.com
239,HarperCollins,https://upload.wikimedia.org/wikipedia/en/thumb/0/00/Harpercollins-logo.svg/300px-Harpercollins-logo.svg.png,United StatesUnited Kingdom,Unknown,1989; 32 years ago (1989),News Corp,195 Broadway,harpercollins.com
240,HarperTrophy,https://upload.wikimedia.org/wikipedia/en/thumb/0/00/Harpercollins-logo.svg/300px-Harpercollins-logo.svg.png,United StatesUnited Kingdom,Unknown,1989; 32 years ago (1989),News Corp,195 Broadway,harpercollins.com
241,HarperCollins,https://upload.wikimedia.org/wikipedia/en/thumb/0/00/Harpercollins-logo.svg/300px-Harpercollins-logo.svg.png,United StatesUnited Kingdom,Unknown,1989; 32 years ago (1989),News Corp,195 Broadway,harpercollins.com
242,Harvard University Press,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Harvard_univ_press.svg/220px-Harvard_univ_press.svg.png,United States,Academic publishing,"January 13, 1913 (1913-01-13)",Harvard University,"Cambridge, Massachusetts",www.hup.harvard.edu
243,Harvest House,https://upload.wikimedia.org/wikipedia/en/thumb/9/95/Harvest_House_logo.jpg/100px-Harvest_House_logo.jpg,United States,Books,1974,Unkown,"Eugene, Oregon",harvesthousepublishers.com
244,Harvill Press at Random House,https://upload.wikimedia.org/wikipedia/en/thumb/b/bc/Random_House_logo.svg/220px-Random_House_logo.svg.png,Unknown,Unknown,1927; 94 years ago (1927),Unkown,Unknown,Not available
245,Harvill Secker,https://upload.wikimedia.org/wikipedia/en/1/1f/Harvil_Secker_logo.jpg,United Kingdom,Books,2005,Penguin Random House,London,www.penguin.co.uk/company/publishers/vintage/harvill-secker.html
246,Hawthorne Books,-1,United States,books,2001,Dzanc Books,Portland,www.hawthornebooks.com
247,Hay House,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Hay_House_logo.gif/100px-Hay_House_logo.gif,United States,Audio,[1],Unkown,Carlsbad,www.hayhouse.com
248,Haynes Manual,https://upload.wikimedia.org/wikipedia/en/thumb/7/7e/Haynes-Logo.png/125px-Haynes-Logo.png,United Kingdom,Books,1960,Unkown,Sparkford,haynes.com
249,Headline Publishing Group,-1,United Kingdom,Books,1986; 35 years ago (1986),Hachette,London,www.headline.co.uk
250,Heinemann,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Heinemann_logo.gif/150px-Heinemann_logo.gif,United States,Unknown,1978; 43 years ago (1978),Pearson Education,"Portsmouth, New Hampshire",www.heinemann.com
251,Harcourt Education,https://upload.wikimedia.org/wikipedia/en/thumb/6/67/Harcourtlogo.jpg/220px-Harcourtlogo.jpg,United States,Books,1919,Unkown,San Diego,www.harcourt.com
252,RELX,https://upload.wikimedia.org/wikipedia/en/thumb/b/be/RELX_logo.svg/220px-RELX_logo.svg.png,Unknown,Unknown,1993; 28 years ago (1993)(by merger),Unkown,Unknown,Not available
253,Hesperus Press,-1,United Kingdom,Books,2001,Unkown,"28 Mortimer Street, London W1W 7RD",www.hesperus.press
254,Hemus,https://upload.wikimedia.org/wikipedia/commons/9/95/Hemus_logo-01.png,Kingdom of Bulgaria,Book,1918; 103 years ago (1918),Unkown,Sofia,http://alegzander.com/
255,Heyday Books,-1,United States,"books, magazines",1974,Unkown,"Berkeley, California",www.heydaybooks.com
256,Hodder & Stoughton,https://upload.wikimedia.org/wikipedia/en/thumb/1/15/Hodder_%26_Stoughton_%28logo%29.jpg/200px-Hodder_%26_Stoughton_%28logo%29.jpg,United Kingdom,Unknown,1868; 153 years ago (1868),Hachette,London,hodder.co.uk
