,name,image,origin,publication_types,founded,parent_comp,hq,website,AuthorConnections,BookConnections,id
339,Michigan State University Press,-1,United States,Academic journals,1947,Michigan State University,"East Lansing, Michigan",www.msupress.org,,,339
340,Microsoft Press,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Microsoft_press.png/220px-Microsoft_press.png,United States,Books,Unknown,Microsoft,Unknown,microsoftpressstore.com,,,340
341,Microsoft,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Microsoft_logo_%282012%29.svg/250px-Microsoft_logo_%282012%29.svg.png,Unknown,Unknown,"Albuquerque, New Mexico",Unkown,Unknown,Not available,,,341
342,The Miegunyah Press,-1,Australia,Books,1922; 99 years ago (1922),University of Melbourne,Melbourne,www.mup.com.au,,,342
343,Miles Kelly Publishing,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Miles_Kelly_Logo.png/220px-Miles_Kelly_Logo.png,United Kingdom,Books,1996 (1996),Unkown,Bardfield End Green,www.mileskelly.net,,,343
344,Mills & Boon,-1,United Kingdom,Books,1908 (1908),Harlequin Enterprises,"London Bridge, London",www.millsandboon.co.uk,,,344
345,Minerva Press,-1,United Kingdom,Books,Unknown,Unkown,London,Not available,,,345
346,MIT Press,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/MIT_Press_logo_%28black%29.svg/150px-MIT_Press_logo_%28black%29.svg.png,United States,Books,1962; 59 years ago (1962),Massachusetts Institute of Technology,"Cambridge, Massachusetts",mitpress.mit.edu,55,191,346
347,Mkuki na Nyota,-1,United Republic of Tanzania,Books,1991,Unkown,"24 Samora Ave, Dar es Salaam, Tanzania",www.mkukinanyota.com,,,347
348,Modern Library,https://upload.wikimedia.org/wikipedia/en/8/89/Modern_Library_logo.png,United States,Books,1917,Random House,New York City,modernlibrary.com,,,348
349,Morgan James Publishing,https://upload.wikimedia.org/wikipedia/en/thumb/3/35/Morgan_James_Publishing_logo.jpg/150px-Morgan_James_Publishing_logo.jpg,United States,Books,"2003 (2003) in Virginia, United States","Morgan James, LLC",New York City,morgan-james-publishing.com,,,349
350,Mother Tongue Publishing,-1,Canada,Books,1995,Unkown,Unknown,mothertonguepublishing.com,,,350
351,Arkham House,https://upload.wikimedia.org/wikipedia/en/thumb/4/4f/Arkham_House_%28logo%29.png/100px-Arkham_House_%28logo%29.png,Unknown,Books,1939 (1939),Unkown,"Sauk City, Wisconsin",www.arkhamhouse.com,,,351
352,Myriad Editions,-1,United Kingdom,Books,1993; 28 years ago (1993),New Internationalist,Oxford,myriadeditions.com,,,352
353,Naiad Press,https://upload.wikimedia.org/wikipedia/en/9/99/Naiad_Press_logo.jpg,United States,Books,1973,Unkown,"Tallahassee, Florida",www.naiadpress.com,,,353
354,Nauka,-1,USSR,"books, scientific journals",April 14 1923; 98 years ago (April 14 1923),Unkown,Moscow,www.naukaran.com,,,354
355,NavPress,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Nav_Primary_Horizontal.jpg/300px-Nav_Primary_Horizontal.jpg,Unknown,Unknown,"April, 1933",Unkown,Unknown,Not available,,,355
356,New American Library,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/New_American_Library_-_logo.png/180px-New_American_Library_-_logo.png,United States,Unknown,1948,Berkley Books,New York City,www.penguin.com,,,356
357,New Beacon Books,https://upload.wikimedia.org/wikipedia/en/thumb/7/79/New_Beacon_Books_Logo.jpg/250px-New_Beacon_Books_Logo.jpg,UK,Unknown,1966; 55 years ago (1966),Unkown,Stroud Green Road,https://www.newbeaconbooks.com/,,,357
358,New Directions Publishing,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/80_8th_Avenue_from_the_Port_Authority_building.gk.jpg/200px-80_8th_Avenue_from_the_Port_Authority_building.gk.jpg,United States,Books,1936,Unkown,New York City,ndbooks.com,"5,86","2,8,287,288,290,291,298",358
359,New English Library,-1,Unknown,Unknown,1961; 60 years ago (1961),Unkown,Unknown,Not available,,,359
360,New Holland Publishers,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/New_Holland_Publishers.jpg/180px-New_Holland_Publishers.jpg,"United Kingdom, Australia & New Zealand",Books,1955 (1955),Unkown,Westminster Bridge Road,newhollandpublishers.com,,,360
361,New Village Press,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/New_Village_Press.jpg/220px-New_Village_Press.jpg,United States,Books,2005,Unkown,"New York, New York",newvillagepress.org,,,361
362,New York Review Books,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/New_York_Review_Books_logo.png/250px-New_York_Review_Books_logo.png,United States,Books,1999,The New York Review of Books,New York City,www.nyrb.com,,,362
363,New Win Publishing,-1,United States,Books,1974,Academic Learning Company,"El Monte, California",newwinpublishing.com,,,363
364,Newnes,-1,England,periodicals,1891,Odhams Press,Southampton Street,Not available,,,364
365,No Starch Press,https://upload.wikimedia.org/wikipedia/en/thumb/5/50/Nostarch_logo.png/220px-Nostarch_logo.png,United States,Books,1994 (1994),Unkown,San Francisco,www.nostarch.com,,,365
366,Northwestern University Press,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/PressBuildingS.jpg/220px-PressBuildingS.jpg,United States,Books,1893,Northwestern University,"Evanston, Illinois",nupress.northwestern.edu,,,366
367,Nosy Crow,https://upload.wikimedia.org/wikipedia/en/thumb/a/ad/Nosy_Crow_logo.jpg/75px-Nosy_Crow_logo.jpg,United Kingdom,Children's Books,2010,Unkown,London,www.nosycrow.com,,,367
368,Oberon Books,https://upload.wikimedia.org/wikipedia/en/thumb/b/bc/Oberon_logo_clipped.jpg/220px-Oberon_logo_clipped.jpg,United Kingdom,Books,1985,Unkown,Islington,oberonbooks.com,,,368
369,Open Book Publishers,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/OBP_logo.JPG/350px-OBP_logo.JPG,United Kingdom,Books,2008 (2008),Unkown,Cambridge,www.openbookpublishers.com,,,369
370,Open Court Publishing Company,-1,United States,Books,1887,Carus Publishing Company,Chicago,www.opencourtbooks.com,,,370
371,Open University Press,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/McGraw-Hill_Education_wordmark.svg/220px-McGraw-Hill_Education_wordmark.svg.png,United States,Adaptive learning,1888,Unkown,New York City,www.mheducation.com,,,371
372,OR Books,https://upload.wikimedia.org/wikipedia/commons/d/df/OR_Books_logo_%28transparent%29.png,United States,Books,2009,Unkown,"New York City, New York",www.orbooks.com,,,372
373,Orchard Books,https://upload.wikimedia.org/wikipedia/en/4/45/Groiler_Logo.gif,United States,Books,1909,Scholastic,Danbury,go.scholastic.com,,,373
374,O'Reilly Media,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/O%27Reilly_Logo_%282019%29.svg/220px-O%27Reilly_Logo_%282019%29.svg.png,United States,books,1978; 43 years ago (1978),Unkown,"Sebastopol, California",www.oreilly.com,,,374
375,Orion Books,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/OrionLogo.png/220px-OrionLogo.png,United Kingdom,Books,1991; 30 years ago (1991),Hachette Livre,London,www.orionbooks.co.uk,,,375
376,Orion Publishing Group,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/OrionLogo.png/220px-OrionLogo.png,United Kingdom,Books,1991; 30 years ago (1991),Hachette Livre,London,www.orionbooks.co.uk,,,376
377,Osprey Publishing,-1,United Kingdom,Books,[1],Bloomsbury Publishing,Oxford,www.ospreypublishing.com,,,377
378,Other Press,-1,United States,Books,1998,Unkown,New York City,www.otherpress.com,"26,27",92,378
379,The Overlook Press,https://upload.wikimedia.org/wikipedia/en/thumb/2/29/Logo_the_overlook_press.jpg/220px-Logo_the_overlook_press.jpg,United States,Books,1971 (50 years ago) (1971),Abrams Books,"New York, New York",overlookpress.com,,,379
380,Oxford University Press,https://upload.wikimedia.org/wikipedia/en/thumb/3/38/Oxford_University_Press_logo.svg/220px-Oxford_University_Press_logo.svg.png,United Kingdom,journals,1586; 435 years ago (1586),University of Oxford,Oxford,global.oup.com,,,380
381,Packt,https://upload.wikimedia.org/wikipedia/commons/b/bc/Packt_Logo.png,United Kingdom,Books,2003,Unkown,Birmingham,www.packtpub.com,,,381
382,Palgrave Macmillan,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Palgrave_Macmillan_Logo.svg/220px-Palgrave_Macmillan_Logo.svg.png,United Kingdom,Books,2000,Springer Nature,London,www.palgrave.com,117,431,382
383,Pan Books,-1,United Kingdom,Books,1944,Macmillan Publishers,Clerkenwell,www.panmacmillan.com,,,383
384,Pan Macmillan,-1,United Kingdom,Books,1944,Macmillan Publishers,Clerkenwell,www.panmacmillan.com,,,384
385,Pantheon Books,https://upload.wikimedia.org/wikipedia/en/d/de/Pantheon_logo.jpg,United States,Books,1942; 79 years ago (1942),Random House,New York City,pantheon.knopfdoubleday.com,,,385
386,Papadakis Publisher,https://upload.wikimedia.org/wikipedia/commons/f/fb/Papadakis-logo.jpg,United Kingdom,Books,1997,Unkown,"Winterbourne, Berkshire",www.papadakis.net,,,386
387,Parachute Publishing,-1,Unknown,Unknown,1983,Unkown,Unknown,Not available,,,387
388,Parragon,-1,United Kingdom,Books,1988,Cottage Door Press,Bath,www.parragon.com,,,388
389,Paulist Press,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Paulist-logo-wordmark.png/220px-Paulist-logo-wordmark.png,Unknown,Unknown,Unknown,Unkown,Unknown,Not available,,,389
390,Pavilion Books,-1,Unknown,Books,2005,Unkown,London,www.pavilionbooks.com,,,390
391,Pen and Sword Books,https://upload.wikimedia.org/wikipedia/en/thumb/d/d1/Penandsword.gif/260px-Penandsword.gif,United Kingdom,"Books, magazines",1990; 31 years ago (1990),Barnsley Chronicle,Barnsley,www.Pen-and-Sword.co.uk,,,391
392,Penguin Books,https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Penguin_logo.svg/120px-Penguin_logo.svg.png,United Kingdom,Books,1935; 86 years ago (1935),Penguin Random House,City of Westminster,www.penguin.com,72,225,392
393,Penguin Random House,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Penguin_Random_House.svg/220px-Penguin_Random_House.svg.png,Unknown,Unknown,2013; 8 years ago (2013),Unkown,Unknown,Not available,,,393
394,Penn State University Press,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Penn_State_University_Press_logo_%282016-present%29.png/220px-Penn_State_University_Press_logo_%282016-present%29.png,United States,Books,1956,Unkown,"University Park, Pennsylvania",www.psupress.org,,,394
395,Persephone Books,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Persephone_Books_logo.jpg/350px-Persephone_Books_logo.jpg,United Kingdom,Largely-neglected fiction and non-fiction by women writers,1999,Unkown,Bath,www.persephonebooks.co.uk,,,395
396,Perseus Books Group,https://upload.wikimedia.org/wikipedia/en/thumb/b/bd/Perseus_Books_Group_Logo.png/220px-Perseus_Books_Group_Logo.png,United States,Unknown,1996; 25 years ago (1996),Lagardère SCA,New York City,www.perseusbooks.com,,,396
397,Peter Lang,https://upload.wikimedia.org/wikipedia/en/d/d0/PeterLang_Logo_EN_blue.png,Switzerland,Books,Frankfurt am Main,Unkown,Pieterlen,www.peterlang.com,,,397
398,Peter Owen Publishers,-1,United Kingdom,Books,1951,Unkown,London,www.peterowen.com,,,398
399,Phaidon Press,https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Phaidon_Press_logo.jpg/220px-Phaidon_Press_logo.jpg,Austria,Unknown,1923,Unkown,London,www.phaidon.com,,,399
400,Philosophy Documentation Center,https://upload.wikimedia.org/wikipedia/en/thumb/f/f5/Philosophy_Documentation_Center_%28logo%29.jpg/220px-Philosophy_Documentation_Center_%28logo%29.jpg,Unknown,Unknown,Bowling Green State University,Unkown,Unknown,Not available,,,400
401,Philtrum Press,-1,United States,Books,Unknown,Unkown,"Bangor, Maine",Not available,,,401
402,Picador,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Picador_logo.jpg/220px-Picador_logo.jpg,United Kingdom,Books,1972; 49 years ago (1972),Macmillan Publishers,London,www.picador.com,,,402
403,Pimlico Books at Random House,https://upload.wikimedia.org/wikipedia/en/thumb/b/bc/Random_House_logo.svg/220px-Random_House_logo.svg.png,Unknown,Unknown,1927; 94 years ago (1927),Unkown,Unknown,Not available,,,403
404,Playwrights Canada Press,https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Playwrights_Canada_Press_logo.png/300px-Playwrights_Canada_Press_logo.png,Canada,Plays,1984; 37 years ago (1984),Unkown,Toronto,www.playwrightscanada.com,,,404
405,Pluto Press,https://upload.wikimedia.org/wikipedia/en/thumb/0/0a/Pluto_Press_logo.png/220px-Pluto_Press_logo.png,United Kingdom,Books,1969; 52 years ago (1969),Unkown,N6,www.plutobooks.com,"27,31",129,405
406,Point Blank,-1,Unknown,Unknown,2004; 17 years ago (2004),Unkown,Unknown,Not available,,,406
407,Wildside Press,-1,United States,Audiobooks,1989,Unkown,"Rockville, Maryland",www.wildsidepress.com,,,407
408,Poisoned Pen Press,-1,United States,Books,1997,Sourcebooks,"Scottsdale, Arizona",www.poisonedpenpress.com,,,408
409,Policy Press,https://upload.wikimedia.org/wikipedia/en/thumb/d/d8/Logo_of_publishers_Policy_Press.png/220px-Logo_of_publishers_Policy_Press.png,United Kingdom,"Books, Journals",1996,Bristol University Press,"Bristol, England",policypress.co.uk,,,409
410,Polity,https://upload.wikimedia.org/wikipedia/en/5/52/Polity-logo.png,United Kingdom,Books,1984,Unkown,Cambridge,politybooks.com,,,410
411,Practical Action,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Practcal_Action_Logo_RGB_400px.png/220px-Practcal_Action_Logo_RGB_400px.png,Unknown,Unknown,Unknown,Unkown,Unknown,Not available,,,411
412,Prentice Hall,https://upload.wikimedia.org/wikipedia/en/thumb/8/83/Prentice_Hall_%28logo%29.jpg/250px-Prentice_Hall_%28logo%29.jpg,United States,Books,1913,Savvas Learning Company,"Hoboken, New Jersey",savvas.com,"27,29","113,114,115,116,119",412
413,Prime Books,-1,United States,Books,2001,Unkown,"Gaithersburg, Maryland",www.prime-books.com,,,413
414,Princeton University Press,https://upload.wikimedia.org/wikipedia/en/thumb/2/2e/Princeton_University_Press_logo.svg/150px-Princeton_University_Press_logo.svg.png,United States,Books,1905,Unkown,"Princeton, New Jersey",press.princeton.edu,,,414
415,Profile Books,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Profile_Books_logo.png/250px-Profile_Books_logo.png,UK,Books,1996; 25 years ago (1996),Unkown,London,profilebooks.com,,,415
416,Progress Publishers,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Progress_Publishers_Logo.svg/250px-Progress_Publishers_Logo.svg.png,Unknown,Unknown,1931,Unkown,Unknown,Not available,,,416
417,Prometheus Books,-1,USA,Unknown,1969,Unkown,"Amherst, New York",www.prometheusbooks.com,,,417
418,Puffin Books,https://upload.wikimedia.org/wikipedia/en/6/69/Puffin_Books_logo.png,United Kingdom,Books,2 April 1940; 81 years ago (1940-04-02),Penguin Random House,London,www.puffin.co.uk,,,418
419,Penguin Books,https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Penguin_logo.svg/120px-Penguin_logo.svg.png,United Kingdom,Books,1935; 86 years ago (1935),Penguin Random House,City of Westminster,www.penguin.com,72,225,419
420,Purple House Press,-1,United States,Books,2000,Unkown,"Cynthiana, Kentucky",purplehousepress.com,,,420
421,Pushkin Press,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Pushkin_Press.jpg/120px-Pushkin_Press.jpg,United Kingdom,Unknown,1997; 24 years ago (1997),Unkown,London,http://pushkinpress.com,88,"315,316,317,318,319,320",421
422,The Quarto Group,https://upload.wikimedia.org/wikipedia/commons/b/bb/Quarto_Group_Logo.png,United Kingdom,Unknown,1976 (as The Quarto Group),Unkown,London,www.quarto.com,,,422
423,Que Publishing,https://upload.wikimedia.org/wikipedia/en/thumb/3/35/Pearson_logo.svg/220px-Pearson_logo.svg.png,United Kingdom,Textbooks,1844; 177 years ago (1844),Pearson plc,London,pearsoned.com,,,423
424,Quebecor,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Quebecor_logo.svg/200px-Quebecor_logo.svg.png,Unknown,Unknown,[1],Unkown,Unknown,Not available,,,424
425,Quirk Books,-1,United States,Books,2002,Unkown,Philadelphia,www.quirkbooks.com,,,425
426,Random House,https://upload.wikimedia.org/wikipedia/en/thumb/b/bc/Random_House_logo.svg/220px-Random_House_logo.svg.png,Unknown,Unknown,1927; 94 years ago (1927),Unkown,Unknown,Not available,"17,24,27,83,86,110","58,66,68,75,281,284,296,299,313,374,384",426
427,Reed Publishing,-1,New Zealand,Unknown,1907,Penguin Group,Unknown,Not available,,,427
428,RELX,https://upload.wikimedia.org/wikipedia/en/thumb/b/be/RELX_logo.svg/220px-RELX_logo.svg.png,Unknown,Unknown,1993; 28 years ago (1993)(by merger),Unkown,Unknown,Not available,,,428
429,Riverhead Books,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Riverhead_Books_logo.png/220px-Riverhead_Books_logo.png,United States,Books,1994,Penguin Group,New York City,www.riverheadbooks.com,,,429
430,Robson Books,-1,Unknown,Books,2005,Unkown,London,www.pavilionbooks.com,,,430
431,Rodopi,-1,Netherlands,book series and journals,1966,Brill,Amsterdam,www.rodopi.nl/default.asp,,,431
432,Routledge Kegan Paul,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Routledge_logo.svg/150px-Routledge_logo.svg.png,United Kingdom,academic journals,1851; 170 years ago (1851),Taylor & Francis,Milton Park,routledge.com,,,432
433,Routledge,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Routledge_logo.svg/150px-Routledge_logo.svg.png,United Kingdom,academic journals,1851; 170 years ago (1851),Taylor & Francis,Milton Park,routledge.com,"26,27,31","93,94,95,96,97,99,101,102,126",433
434,Taylor & Francis,https://upload.wikimedia.org/wikipedia/en/thumb/f/f5/Taylor_%26_Francis_logo.svg/250px-Taylor_%26_Francis_logo.svg.png,United Kingdom,Peer-reviewed,1852; 169 years ago (1852),Informa,Milton Park,taylorandfrancis.com,,,434
435,Rowman & Littlefield,https://upload.wikimedia.org/wikipedia/en/thumb/4/40/Rowman_Littlefield_Logo.png/220px-Rowman_Littlefield_Logo.png,United States,Unknown,1949,Unkown,"Lanham, Maryland",rowman.com,,,435
436,Royal Society of Chemistry,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/RSC-brand-guidelines-2019_tcm18-246471.svg/250px-RSC-brand-guidelines-2019_tcm18-246471.svg.png,Unknown,Unknown,Unknown,Unkown,Unknown,Not available,,,436
437,S&P Global,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/S%26P_Global_logo.svg/220px-S%26P_Global_logo.svg.png,Unknown,Unknown,1917; 104 years ago (1917),Unkown,Unknown,Not available,,,437
438,SAGE Publishing,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/SAGE_Publishing_logo.svg/220px-SAGE_Publishing_logo.svg.png,United States,"Academic books, journals, reference and library products",1965 (1965),Unkown,"Thousand Oaks, California",sagepub.com,,,438
439,St. Martin's Press,https://upload.wikimedia.org/wikipedia/en/9/90/St_martins_press_logo.png,United States,Unknown,1952; 69 years ago (1952),Macmillan Publishers,Equitable Building,stmartins.com,,,439
440,Salt Publishing,-1,United Kingdom,Books,1999,Unkown,Cromer,www.saltpublishing.com,,,440
441,Sams Publishing,-1,United States,Unknown,1940,Pearson Education,"Carmel, Indiana",www.informit.com/sams,,,441
442,Schocken Books,https://upload.wikimedia.org/wikipedia/en/5/58/Schocken_Books_logo.png,United States,Books,1931,Random House,New York City,schocken.knopfdoubleday.com,,,442
443,Scholastic Corporation,https://upload.wikimedia.org/wikipedia/en/thumb/e/e6/Scholastic_logo.svg/220px-Scholastic_logo.svg.png,Unknown,Unknown,Wilkinsburg,Unkown,Unknown,Not available,,,443
444,Scribner,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Scribner-building.jpg/220px-Scribner-building.jpg,United States,Books,1846; 175 years ago (1846),Simon & Schuster,"153–157 Fifth Avenue, New York City",scribnerbooks.com,,,444
445,Seagull Books,-1,India,Books,1982,Unkown,Kolkata,www.seagullbooks.org,,,445
446,Serif,-1,United Kingdom,Books,1992; 29 years ago (1992),OR Books,London,www.serifbooks.co.uk,,,446
447,Shambhala Publications,https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Shambhala_Publications_logo.gif/93px-Shambhala_Publications_logo.gif,United States,Unknown,1969,Unkown,Boulder,www.shambhala.com,,,447
448,Shire Books,-1,United Kingdom,Books,1962 (1962),Bloomsbury Publishing,London,www.bloomsbury.com/uk/non-fiction/history/heritage/,,,448
449,Sidgwick & Jackson,-1,United Kingdom,Books,1908,Pan Macmillan,London,http://www.panmacmillan.com,,,449
450,Signet Books,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/New_American_Library_-_logo.png/180px-New_American_Library_-_logo.png,United States,Unknown,1948,Berkley Books,New York City,www.penguin.com,,,450
451,New American Library,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/New_American_Library_-_logo.png/180px-New_American_Library_-_logo.png,United States,Unknown,1948,Berkley Books,New York City,www.penguin.com,,,451
452,Simon & Schuster,https://upload.wikimedia.org/wikipedia/en/thumb/d/db/Simon_and_Schuster.svg/220px-Simon_and_Schuster.svg.png,Unknown,Unknown,"January 2, 1924; 97 years ago (January 2, 1924)",Unkown,Unknown,Not available,,,452
453,Sinclair-Stevenson,-1,United Kingdom,books,1989,Unkown,Unknown,Not available,,,453
454,Society for Promoting Christian Knowledge,https://upload.wikimedia.org/wikipedia/en/thumb/e/e7/SPCK_Logo_from_2018_Onwards.png/200px-SPCK_Logo_from_2018_Onwards.png,Unknown,Unknown,Unknown,Unkown,Unknown,Not available,,,454
455,Sounds True,-1,Unknown,Unknown,1985,Unkown,Unknown,Not available,,,455
456,Sourcebooks,-1,United States,Books,1987,Unkown,Naperville,www.sourcebooks.com,,,456
457,South End Press,https://upload.wikimedia.org/wikipedia/en/thumb/7/73/South_End_Press.png/250px-South_End_Press.png,United States,Books,1977,Unkown,Boston,www.southendpress.org (dead link),,,457
458,Spinsters Ink,https://upload.wikimedia.org/wikipedia/en/thumb/e/ef/Spinsters_Ink_logo.png/100px-Spinsters_Ink_logo.png,Unknown,Unknown,1978,Unkown,Unknown,Not available,,,458
459,Springer Science+Business Media,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Springer.svg/250px-Springer.svg.png,Germany,Unknown,10 May 1842; 179 years ago (1842-05-10) (as Springer-Verlag),Unkown,Berlin,www.springer.com,,,459
460,Square One Publishers,https://upload.wikimedia.org/wikipedia/en/d/d2/Square_One_Publishers_logo.gif,United States,Books,2000,Unkown,"Garden City Park, NY",www.squareonepublishers.com,,,460
461,Stanford University Press,https://upload.wikimedia.org/wikipedia/en/thumb/2/2e/Stanford_University_Press_logo.svg/220px-Stanford_University_Press_logo.svg.png,United States,Books,1892,Unkown,"Redwood City, California",sup.org,,,461
462,The Stationery Office,https://upload.wikimedia.org/wikipedia/en/8/84/TSO_logo.png,Unknown,Unknown,1996,Unkown,Unknown,Not available,,,462
463,Steidl,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Steidl_Logo.jpg/220px-Steidl_Logo.jpg,Germany,"Books, Photobooks",1968,Unkown,Göttingen,steidl.de,,,463
464,Stein and Day,-1,United States,Books,1962,Unkown,New York City,Not available,,,464
465,Summit Media,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Summit_Media_logo.svg/180px-Summit_Media_logo.svg.png,Unknown,Unknown,Mandaluyong,Unkown,Unknown,Not available,,,465
466,SUNY Press,https://upload.wikimedia.org/wikipedia/en/thumb/9/94/State_University_of_New_York_seal.svg/150px-State_University_of_New_York_seal.svg.png,Unknown,Unknown,Unknown,Unkown,Unknown,Not available,,,466
467,T&T Clark,-1,United Kingdom,Academic journals,Edinburgh,Bloomsbury Publishing,London,www.bloomsbury.com,,,467
468,Tachyon Publications,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Tachyon_logo.jpg/120px-Tachyon_logo.jpg,United States,Unknown,1995,Unkown,San Francisco,www.tachyonpublications.com,,,468
469,Target Books,https://upload.wikimedia.org/wikipedia/en/1/11/Target_books.png,United Kingdom,Unknown,1973,Universal-Tandem Publishing Co Ltd,Unknown,Not available,,,469
470,Tarpaulin Sky Press,-1,United States,"Books, literary journals",2006,Unkown,"Grafton, Vermont",tarpaulinsky.com,,,470
471,Tartarus Press,-1,United Kingdom,"Books, journals",1990,Unkown,Leyburn,www.tartaruspress.com,,,471
472,Taunton Press,https://upload.wikimedia.org/wikipedia/en/thumb/3/33/TheTauntonPressLogo.png/225px-TheTauntonPressLogo.png,United States,Magazines,1975,Unkown,Newtown,www.taunton.com,,,472
473,Taylor & Francis,https://upload.wikimedia.org/wikipedia/en/thumb/f/f5/Taylor_%26_Francis_logo.svg/250px-Taylor_%26_Francis_logo.svg.png,United Kingdom,Peer-reviewed,1852; 169 years ago (1852),Informa,Milton Park,taylorandfrancis.com,,,473
474,Ten Speed Press,https://upload.wikimedia.org/wikipedia/en/5/5e/Ten_Speed_Press_logo.png,United States,Books,1971,Crown Publishing Group,Unknown,crownpublishing.com/archives/imprint/ten-speed-press,,,474
475,Thames & Hudson,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Thames_and_Hudson_logo.svg/100px-Thames_and_Hudson_logo.svg.png,United Kingdom,Books,1949,Unkown,High Holborn,www.thamesandhudson.com,,,475
476,Thames & Hudson USA,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Thames_and_Hudson_logo.svg/100px-Thames_and_Hudson_logo.svg.png,United Kingdom,Books,1949,Unkown,High Holborn,www.thamesandhudson.com,,,476
477,Thieme Medical Publishers,https://upload.wikimedia.org/wikipedia/en/thumb/e/e0/Thieme_logo.png/250px-Thieme_logo.png,Germany,Books,1886 (1886),Unkown,Stuttgart,www.thieme.com,,,477
478,Third World Press,-1,United States,Books,1967,Unkown,Chicago,thirdworldpressfoundation.org,,,478
479,Thomas Nelson,https://upload.wikimedia.org/wikipedia/en/1/15/Thomas_Nelson_logo.jpg,Scotland,"Bibles, books, curriculum, digital content",17981854 (US),HarperCollins,"Nashville, Tennessee",www.thomasnelson.com,,,479
480,Ticonderoga Publications,https://upload.wikimedia.org/wikipedia/commons/8/87/TP-Logo-Black-web-100px.jpg,Australia,Unknown,1996,Unkown,"Greenwood, Western Australia",http://ticonderogapublications.com,,,480
481,Time Inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Time_Inc._logo.svg/220px-Time_Inc._logo.svg.png,Unknown,Unknown,spin-off,Unkown,Unknown,Not available,,,481
482,Times Books,-1,United States,Unknown,19592000 (relaunch),Henry Holt,New York City,Not available,,,482
483,Titan Books,-1,UK,Books,1981,Titan Entertainment Group,Bankside,titanbooks.com,,,483
484,Top Shelf Productions,https://upload.wikimedia.org/wikipedia/en/4/47/Topshelf_logo.png,United States,Comics,1997,IDW Publishing,Marietta,www.topshelfcomix.com,,,484
485,Tor Books,https://upload.wikimedia.org/wikipedia/en/thumb/1/1f/Tor_Books_2016.svg/200px-Tor_Books_2016.svg.png,United States,E-books,"April 2, 1980; 41 years ago (1980-04-02)",Macmillan,Equitable Building,us.macmillan.com/torforge,,,485
486,Triangle Books,https://upload.wikimedia.org/wikipedia/en/thumb/e/e7/SPCK_Logo_from_2018_Onwards.png/200px-SPCK_Logo_from_2018_Onwards.png,Unknown,Unknown,Unknown,Unkown,Unknown,Not available,,,486
