name,bio
Rane Arroyo,"Ramón Arroyo (November 15, 1954 – May 7, 2010) was an  playwright, poet and scholar of  descent who wrote numerous books and received many literary awards. He was a professor of English and Creative Writing at the  in . His work deals extensively with issues of ,  culture, and . Arroyo was   and frequently wrote self-reflexive, autobiographical texts. He was the long-term partner of the American poet Glenn Sheldon.
"
Yolanda Arroyo Pizarro,"Yolanda Arroyo Pizarro (born October 29, 1970) is a  ,  and .
"
John Ashbery,"
"
Damien Atkins,"Damien Atkins is a  actor and playwright.
"
W. H. Auden,"
"
Ellis Avery,"Ellis Avery (born Elisabeth Atwood; October 25, 1972 – February 15, 2019) was an American writer. She won two  (the only author to have done so), one in 2008 for her   and one in 2013 for her second novel . The Teahouse Fire also won a  for  and an Ohioana Library Fiction Award in 2007.  She self-published her memoir, The Family Tooth, in 2015. Her final book, Tree of Cats, was independently published posthumously. An out , she is survived by her spouse, .
"
Manuel Azaña,"Manuel Azaña Díaz (Spanish pronunciation: ; 10 January 1880 – 3 November 1940) was a Spanish politician who served as  of the  (1931–1933 and 1936), organizer of the Popular Front in 1935 and the last  (1936–1939). He was the most prominent leader of the losing Republican cause during the  of 1936–1939.
"
Cheryl B,"Cheryl Burke (September 19, 1972 – June 18, 2011), known professionally as Cheryl B, was an  journalist,  poet,  and playwright, associated with the  arts scene in . She is best known for her autobiographical book My Awesome Place: The Autobiography of Cheryl B, which was published posthumously and was co-winner, with 's novel , of the  for Bisexual Literature.
"
Mette Bach,"Mette Bach is a - , , , and director. She was born in  and grew up in . Bach attended  where she received a Bachelor of Arts in English. She has an MFA from the 's Creative Writing Program.
"
Sir Francis Bacon,"
"
Bruce Bagemihl,"Bruce Bagemihl is a  , , and author of the book Biological Exuberance: Animal Homosexuality and Natural Diversity.
"
Bilal Baig,"Bilal Baig is a  writer and actor, most noted for their play Acha Bacha. The play, which centres on a   man struggling to reconcile his sexuality with his  upbringing, was staged in a joint production by  and  in 2018.
"
James Robert Baker,"
"
John Roman Baker,"
"
James Baldwin,"
"
Honoré de Balzac,"
"
Victor J. Banis,"Victor Jerome Banis (May 25, 1937 – February 22, 2019) was an American , often associated with the first wave of West Coast  writing. For his contributions he has been called ""the godfather of modern popular gay fiction."" He was  .
"
Keith Banner,"Keith Banner is an  writer, whose 2014 collection Next to Nothing: Stories was a shortlisted nominee for the  for  at the  in 2015.
"
Kaushalya Bannerji,"Kaushalya Bannerji (born ) is a  poet.
"
Ann Bannon,"
"
Porfirio Barba Jacob,"Miguel Ángel Osorio Benítez (July 29, 1883 – January 14, 1942), better known by his , Porfirio Barba-Jacob, was a   and writer.
"
Djuna Barnes,"
"
Allen Barnett,"Allen Barnett (May 23, 1955 – August 14, 1991) was an  writer. Although he published only one volume of short stories, The Body and Its Dangers, during his lifetime, the book is widely regarded as one of the most artistically significant depictions of  life at the height of the  crisis.
"
Natalie Clifford Barney,"
"
Richard Barnfield,"
"
Damian Barr,"
"
Joelle Barron,"Joelle Barron is a  poet and activist, whose debut poetry collection Ritual Lights was published in 2018. The book was a longlisted nominee for the  in 2019, and Barron was a shortlisted finalist for the 's 2019  for emerging  writers.
"
Roland Barthes,"
"
John Barton,"John Barton (born 1957) is a Canadian .
"
Jean Basile,"Jean Basile was the pen name of Jean Basile Bezroudnoff (January 5, 1932 – February 10, 1992), a -born  journalist and novelist from . A key figure in the underground  of  in the 1960s and 1970s, he is most noted for his ""Mongol"" trilogy of novels, La Jument des mongols, Le Grand Khan and Les Voyages d'Irkoutsk, and for cofounding the counterculture magazine Mainmise.
"
Jaime Bayly,"
"
Neil Bartlett,"
Neil Vivian Bartlett, , (born 1958) is a British director, performer, translator, and writer. He was one of the founding members of Gloria, a production company established in 1988 to produce his work along with that of Nicolas Bloomfield, Leah Hausman and Simon Mellor. His work has garnered several awards, including the 1985 Perrier Award (as director for Complicite, for More Bigger Snacks Now), the Time Out Dance Umbrella Award (for A Vision of Love Revealed in Sleep), a Writers Guild Award (for Sarrasine), a Time Out Theatre Award (for A Judgement in Stone), and the Special Jury Prize at the Cork Film Festival (for Now That It's Morning). His production of The Dispute won a Time Out Award for Best Production in the West End and the 1999 TMA Best Touring Production award. He was appointed an  in 2000 for his services to the arts.
His 2004 production of Shakespeare's Pericles was nominated for an Olivier Award for Outstanding Theatrical Achievement in 2004 
"
Sylvia Beach,"Sylvia Beach (March 14, 1887 – October 5, 1962), born Nancy Woodbridge Beach, was an American-born bookseller and  publisher who lived most of her life in , where she was one of the leading  figures between  and .
"
William Beckford,"
"
Aphra Behn,"
"
Billy-Ray Belcourt,"Billy-Ray Belcourt is a poet, scholar, and author from the .
"
Gwen Benaway,"
"
Bruce Benderson,"Bruce Benderson (born August 6, 1946) is an American author, born to parents of Russian  descent, who lives in . He attended William Nottingham High School (1964) in  and then  (1969). He is today a novelist, essayist, journalist and translator, widely published in France, less so in the United States.
"
E. F. Benson,"
"
Jeremy Bentham,"
"
S. Bear Bergman,"
"
Leonard Bernstein,"
"
Mattilda Bernstein Sycamore,"
"
Tess Berry-Hart,"
Tess Berry-Hart is a British playwright and novelist writing for adults, young adults and children. Novels and theatre plays deal with themes such as the ,  rights, , , and the .  Berry-Hart has also written fiction and  pieces for stage to support human rights campaigns  and to raise funds for the refugee crisis.
"
José Bianco,"José Bianco (1908–1986) was an Argentine essayist, translator, and writer. Bianco made translations of works by , , , and , among others.
"
Anthony Bidulka,"Anthony Bidulka (born July 24, 1962) is a Canadian writer of , thriller and suspense novels. Bidulka's books have been nominated for Crime Writers of Canada Arthur Ellis Awards, Saskatchewan Book Awards, a ReLit award, and Lambda Literary Awards.
"
Aristide von Bienefeldt,"Aristide von Bienefeldt (24 October 1959,  – 15 January 2016) was the pen name of the Dutch novelist Rijk de Jong.
"
Imogen Binnie,"Imogen Binnie is a   who made her debut with the publication of  in 2013.
"
Elizabeth Bishop,"
"
bill bissett,"Bill Bissett (born William Frederick Bissett, November 23, 1939) is a   known for his unconventional style.
"
Persimmon Blackbridge,"Persimmon Blackbridge (born 1951) is a Canadian writer and artist whose work focuses on , ,  and  issues. She identifies herself as a lesbian, a person with a disability and a feminist. Her work explores these intersections through her sculptures, writing, curation and performance. The novels she has written follow characters that are very similar to Blackbridge's own life experiences, allowing her to write honestly about her perspective. Blackbridge's struggle with her mental health has become a large part of her practice, she uses her experience with mental health institutions to address her perspective on them. Blackbridge is involved in the film, SHAMELESS: The Art of Disability exploring the complexity of living with a disability. Her contributions to projects like this help destigmatize the attitudes towards people with disabilities. Blackbridge has won many awards for her work exploring her identity and the complexities that come with it.
"
Marie-Claire Blais,"
"
Cassandra Blanchard,"Cassandra Blanchard is a  poet. Her debut collection, Fresh Pack of Smokes, was the 2020 winner of the  for poetry.
"
Robin Blaser,"Robin Francis Blaser (May 18, 1925 – May 7, 2009) was an author and  in both the  and .
"
Ali Blythe,"Ali Blythe is a  poet and editor. His debut poetry collection Twoism was a shortlisted finalist for the  in 2016, and he was a finalist for the 2017  for  writers.
"
Charlie Bondhus,"Michael McKeown Bondhus (born Charlie, 1981) is an American poet and author of four books. His second book, All the Heat We Could Carry, was the winner of the 2013 Main Street Rag Poetry Book Award, the 2014  for Gay Poetry, and a finalist for the  Poetry Book Award.
"
Yolanda Bonnell,"Yolanda Bonnell is a  actress and playwright. She is most noted for her play bug, which was a  nominee for  at the .
"
Gregory Bonsignore,"Gregory Bonsignore (born 1983) is an International , ,  for theatre, television and film, , , musical theatre  & , ,  and .
"
Walter Borden,"Walter Marven Borden,   (born 1942) is a  actor, poet and playwright. He is originally from , . His film and television credits include , , ,  and .
"
Barrie Jean Borich,"Barrie Jean Borich is an  writer. She is best known for her  My Lesbian Husband: Landscapes of a Marriage, which won a  in 2000 and was a shortlisted  nominee for Lesbian Biography at the , and Body Geographic, which won the Lambda for Lesbian Biography/Memoir at the .
"
Michel Marc Bouchard,"Michel Marc Bouchard,   (born February 2, 1958) is a Canadian . He has received the Prix Journal de Montreal, Prix du Cercle des critiques de l'Outaouais, the , the , and nine  for the  productions of Lilies and The Orphan Muses.
"
Elizabeth Bowen,"
"
Jane Bowles,"Jane Bowles (; born Jane Sydney Auer;  February 22, 1917 – May 4, 1973) was an American writer and playwright.
"
Paul Bowles,"
"
John Boyne,"
"
Lawrence Ytzhak Braithwaite,"Lawrence Christopher Patrick (aka Ytzhak) Braithwaite (March 17, 1963 – July 14, 2008) was a Canadian ,  artist, , , digital drummer and short  writer.
"
Christopher Bram,"
"
Dionne Brand,"Dionne Brand   (born 7 January 1953) is a  poet, novelist,  and . She was 's third  from September 2009 to November 2012. She was admitted to the  in 2017 and has won the  for Poetry, the , the  for Poetry, the , and the .
"
Ken Brand,"Ken Brand is a  playwright from , . One of the significant figures in the emergence of  theatre in Canada in the 1990s, he is most noted for his play The Bathhouse Suite, which appears in the -edited anthology Perfectly Abnormal: Seven Gay Plays alongside plays by , , , ,  and .
"
Beth Brant,"Beth E. Brant, Degonwadonti, or Kaieneke'hak was a  writer, essayist, and poet of the  from the  in , Canada. She is also a lecturer, editor, and speaker. She wrote based on her deep connection to her indigenous people and touched on the infliction of racism and colonization. She brought her writing to life from her personal experiences of being a lesbian, having an abusive spouse, and her mixed blood heritage from having a  father and a Scottish-Irish mother. She has three books of essays and short stories and three edited anthologies published.
"
Perry Brass,"Perry Brass born September 15, 1947,  is an American , ,  and .
"
André Brassard,"
"
Bertolt Brecht,"
"
Poppy Z. Brite,"
"
Lynn Breedlove,"Lynn Breedlove (also known as Lynnee Breedlove) is an American , , and  who was born in , United States.
"
Michael Bronski,"
"
Carellin Brooks,"Carellin Brooks is a  writer, whose  One Hundred Days of Rain won the  in 2016 and the  for Fiction in 2017.
"
Brigid Brophy,"
"
Nicole Brossard,"Nicole Brossard   (born November 27, 1943) is a leading   poet and novelist.  Her work is known for exploration of feminist themes and for challenging masculine-oriented language and points of view in French literature.
"
Olga Broumas,"Olga Broumas (born 6 May 1949, ) is a Greek poet, resident in the United States. She has been Poet-in-Residence and Director of Creative Writing at  since 1995. 
"
Rebecca Brown,"Rebecca Brown was an American novelist, essayist, playwright, artist, and professor. She was the first writer in residence at , co-founder of the Jack Straw Writers Program, and served as the creative director of literature at  in  from 2005 to 2009. Brown's best-known work is her novel , which won a  in 1994. Rebecca Brown is an  faculty member in the MFA in Creative Writing Program at  in Plainfield, Vermont and is also a multi-media artist whose work has been displayed in galleries such as the .
"
Rita Mae Brown,"Rita Mae Brown (born November 28, 1944) is an American , best known for her   novel, . Brown was active in a number of civil rights campaigns, but tended to feud with their leaders over the marginalising of lesbians within the feminist groups. Brown received the Pioneer Award for lifetime achievement at the Lambda Literary Awards in 2015.
"
Nathan Burgoine,"'Nathan Burgoine is a Canadian writer. His  Light was a shortlisted  nominee in the  category at the . The novel was published by  in 2013.
"
Ronnie Burkett,"Ronnie Burkett,  is a  , best known for his original  plays for adults, performed with . Burkett, who hails from , was the puppeteer for Ralph on the  series  during seasons three and four.
"
John Horne Burns,"
"
William S. Burroughs,"
"
Aldo Busi,"Aldo Busi (born 25 February 1948) is a contemporary  writer and translator, famous for his linguistic invention and for his polemic force as well as for some prestigious translations from English, German and ancient Italian that include , , , , , , , , , , , , .
"
Alec Butler,"
"
Lady Eleanor Butler,"
"
Samuel Butler,"
"
Lord Byron,"
"
Patrick Califia,"
"
Anne Cameron,"(Barbara) Anne Cameron   (born August 20, 1938 in , ) is a Canadian novelist, poet, screenwriter, short story and children's book writer.
"
Elspeth Cameron,"Elspeth MacGregor Cameron (born 10 January 1943) is a Canadian writer best known for her  of noted Canadian literary figures such as  and . She is also noted for her 1997 memoir No Previous Experience, a memoir of her process of self-discovery when, having previously identified as , she began to develop a sexual and romantic attraction to historian Janice Dickin McGinnis. She has also published a volume of poetry.
"
Rafael Campo,"Rafael Campo (born 1964 ) is an  , doctor, and author.
"
Truman Capote,"
"
Pat Capponi,"Pat Capponi,   (July 1, 1949 – April 6, 2020) was a Canadian writer and an advocate for  issues and  issues in Canada.
"
Tom Cardamone,"Tom Cardamone is an American writer of speculative fiction. His published works include the anthology , the fantasy novels The Werewolves of Central Park and Green Thumb, the novella Pacific Rimming and the short story collection Pumpkin Teeth.
"
Nancy Cárdenas,"Nancy Cárdenas (29 May 1934 – 23 March 1994) was a Mexican actor, poet, writer and feminist. She was a playwright and one of the first Mexican people to publicly declare her homosexuality.
"
Dale Carpenter,"Dale Carpenter (born December 27, 1966) is an American legal commentator and Professor of Law at the . He formerly served as the Earl R. Larson Professor of Civil Rights and Civil Liberties Law at the  for sixteen years. As a professor, Carpenter specializes in , the , Due Process and Equal Protection clauses, , and .
"
Edward Carpenter,"
"
Michael Carroll,"Michael Carroll is an  writer.
"
Julián del Casal,"José Julián Herculano del Casal y de la Lastra (November 7, 1863 – October 21, 1893) was a poet from . He started his writing career at a young age and later in life was known as an important forebearer of modernistic expression in .
"
Sue-Ellen Case,"Sue-Ellen Case (born 1942) is  and Chair of Critical Studies in the Theatre Department in the  at the .
"
Joseph Cassara,"Joseph Cassara (born 1989) is an  writer, whose debut novel The House of Impossible Beauties was published in 2018. The novel, an exploration of  culture in  in the 1980s during the  crisis, was inspired in part by  and the film .
"
Stacie Cassarino,"Stacie Cassarino (born 1975) is an  poet, literary scholar, editor, and educator. She is the author of the collection of poems, Zero at the Bone, and Culinary Poetics and Edible Images in Twentieth-Century American Literature.
"
Clint Catalyst,"
"
Willa Cather,"
"
Catullus,"
"
Constantine P. Cavafy,"Constantine Peter Cavafy (; also known as Konstantinos Petrou Kavafis; : Κωνσταντίνος Π. Καβάφης ; April 29 (April 17, ), 1863 – April 29, 1933) was a  poet,  and  from . He was also a  whose work, as one translator put it, ""holds the historical and the erotic in a single embrace.""
"
Kate Cayley,"Kate Cayley is a  writer and theatre director. She was the artistic director of Stranger Theatre and was playwright-in-residence at Toronto's  from 2009 to 2017.
"
Luis Cernuda,"
"
Robert Chafe,"Robert Chafe (born 1971) is a  playwright and actor based in . He is the author of seventeen stage scripts and co-author of another eight. His play Afterimage won the  at the . He was previously nominated for the same award at the  for his plays Butler's Marsh and Tempting Providence.
"
Paul Chamberland,"Paul Chamberland (born 1939 in , ) is a poet and Quebec essayist. He is also considered as a humanist. He studied philosophy and literature. He participated in La Nuit de La poésie in the 27th of March 1970, with , , , , etc.
"
Jane Chambers,"Jane Chambers (March 27, 1937 – February 15, 1983) was an  playwright. She was a ""pioneer in writing theatrical works with openly  characters"".
"
Jessie Chandler,"Jessie Chandler (born August 16, 1968) is an American author of  and humorous caper fiction, most of which is about  protagonists. Her work includes the Shay O'Hanlon Caper Series, many short stories, and other novels. Chandler has presented talks about the craft of writing, serves as a mentor to many up-and-coming writers, and is a contributing member of The , , and serves on the board of .
"
Graham Chapman,"
"
George Chauncey,"George Chauncey (born 1954)  is a professor of  at .  He is best known as the author of  (1994).
"
Normand Chaurette,"Normand Chaurette (born July 9, 1954 in , ) is a Canadian playwright, best known as one of the first prominent writers of -themed plays in Quebec and Canada.
"
John Cheever,"
"
Wayson Choy,"
"
Jillian Christmas,"Jillian Christmas is a  poet from , . She is most noted as the 2021 winner of the ' Sheri-D Wilson Golden Beret Award for spoken word poetry. Her published debut collection, The Gospel of Breaking, was also a shortlisted finalist for both the  and the  in the same year.
"
Hélène Cixous,"
"
John Cleland,"
"
Kate Clinton,"Kate Clinton (born November 9, 1947) is an   specializing in political commentary from a / point of view.
"
Jean Cocteau,"
"
Christopher Coe,"Christopher Coe (1953 – September 6, 1994) was an American .
"
Henri Cole,"Henri Cole (born 1956) is an  , who has published many collections of poetry and a memoir. His books have been translated into French, Spanish, Italian, German, and Arabic.
"
Colette,"
"
Joey Comeau,"
"
Ivy Compton-Burnett,"
"
Carmen Conde Abellán,"Carmen Conde Abellán (15 August 1907 – 8 January 1996) was a Spanish ,  and teacher. In 1931 she founded the first Popular University of Cartagena, along with her husband . She was also the first woman to become an  of the , where she delivered her induction speech in 1979.
"
Timothy Conigrave,"
"
Garrard Conley,"Garrard Conley (born 1984 or 1985) is an American author and  activist known for his autobiography , recounting his childhood as part of a  family in  that enrolled him in . The book was adapted for the 2018 film, .
"
Bernard Cooper,"Bernard Cooper is an American  and . He was born on October 3, 1951 in , .
His writing is in part autobiographical and influenced by his own experiences as a gay man.
Bernard Cooper's fiction and essays have received several awards. He has both his BFA and MFA in art from .
"
Dennis Cooper,"[]
"
Copi,"Raúl Damonte Botana (November 20, 1939,  – December 14, 1987, ), better known by the nom de plume Copi (French: ; from ""copito de nieve"", Spanish for ""little snowflake""), was an  writer, cartoonist, and playwright who spent most of his career in .
"
Rick Copp,"
"
Steven Corbin,"Steven Corbin (October 3, 1953 – August 31, 1995) was an  writer. He was known for his novel Fragments That Remain, a  nominee for  at the 1994 .
"
Jeanne Cordova,"Jeanne Córdova (July 18, 1948 – January 10, 2016) was an American trailblazer of the  movement, founder of , and a founder of the West Coast  movement.  Córdova was a   activist and proud .
"
Marie Corelli,"
"
Carl Corley,"Carl Vernon Corley (December 8, 1921 – November 3, 2016) was an American author and illustrator. Beginning in the 1950s, he drew physique art for male  magazines and for sale as posters.  In the 1960s and 1970s, he wrote twenty-two novels of . From the 1970s into the early 1990s, Corley continued to write stories for  magazines. Corley also has written and illustrated non-erotic projects, including  history and religious books. Gay historian John Howard, who rediscovered Corley's gay pulp novels in the 1990s, argues that Corley's work ""complicates queer cultural studies by unsettling its urbanist roots."" Corley's texts are not typical stories of gay young men from rural areas finding their ways to sexual liberation in cities, but instead describe ""many complex nodes of circulation, not just aggregation"".
"
Brenda Cossman,"Brenda Cossman (born 1960) is a professor of law at the . She is currently the director at the Mark S. Bonham Centre for Sexual Diversity Studies. In 2012, Cossman was named a Fellow of the .
"
Douglas Coupland,"Douglas Coupland   (born 1961) is a Canadian , , and . His first novel, the 1991 international bestseller , popularized the terms  and . He has published thirteen novels, two collections of short stories, seven non-fiction books, and a number of dramatic works and screenplays for film and television. He is a columnist for the  and a frequent contributor to , , Dis, and . His art exhibits include Everywhere Is Anywhere Is Anything Is Everything which was exhibited at the , and the  and the , (now the ) and Bit Rot at Rotterdam's  and the .
"
Dani Couture,"Danielle (Dani) Couture (born 1978) is a  poet and novelist.
"
Noël Coward,"
"
Daniel Allen Cox,"
"
Ivan Coyote,"Ivan E. Coyote (born August 11, 1969 in ) is a Canadian  performer, writer, and  advocate. Coyote has won many accolades for their collections of short stories, novels, and films. They also visit schools to tell stories and give writing workshops. The  has called Coyote a ""gender-bending author who loves telling stories and performing in front of a live audience."" Coyote is  and uses  pronouns. Many of Coyote's stories are about gender, identity, and social justice. Coyote currently resides in .
"
Caleb Crain,"Caleb Crain is an  writer, who was a  nominee in the  category at the  in 2014 for his  Necessary Errors.
"
Hart Crane,"Harold Hart Crane (July 21, 1899 – April 27, 1932) was an American poet. Provoked and inspired by , Crane wrote modernist poetry that was difficult, highly stylized, and ambitious in its scope. In his most ambitious work, , Crane sought to write an epic poem, in the vein of , that expressed a more optimistic view of modern, urban culture than the one that he found in Eliot's work. In the years following his suicide at the age of 32, Crane has been hailed by playwrights, poets, and literary critics alike (including , , , and ), as being one of the most influential poets of his generation.
"
Mark Crawford,"Mark Crawford is a  theatre actor and playwright. He is best known for his 2016 play The Birds and the Bees, one of the most widely-produced new Canadian plays of the 2010s.
"
Quentin Crisp,"
"
Eva Crocker,"Eva Crocker is a  writer based in St. John's, whose debut short story collection Barrelling Forward was published in 2017.
"
Mart Crowley,"
"
Countee Cullen,"Countee Cullen (born Countee LeRoy Porter; May 30, 1903 – January 9, 1946) was an American poet, novelist, children's writer, and playwright, particularly well known during the .
"
Nancy Jo Cullen,"
"
Tom Culligan,"
Tom Culligan (born 1945) is a  entrepreneur and author.
"
Michael Cunningham,"Michael Cunningham (born November 6, 1952) is an American novelist and screenwriter. He is best known for his 1998 novel , which won the   and the  in 1999. Cunningham is a senior lecturer of  at .
"
Peter Cureton,"Peter Cureton (1965 – March 2, 1994) was a  actor and . He was best known for his 1993 play Passages, an autobiographical show about living with .
"
Jameson Currier,"Jameson Currier (October 16, 1955) is an  , short story writer, poet, critic, journalist, editor, and publisher.
"
Jen Currin,"Jen Currin is an / poet and fiction writer. Born and raised in , , she is currently based in ,  and teaches creative writing at . Her 2010 collection The Inquisition Yours won the  for Lesbian Poetry in 2011, and was shortlisted for that year's ,  and . Her 2014 collection School was a finalist for the Pat Lowther Award, the Dorothy Livesay Prize, and a ReLit Award.
"
Jean-Paul Daoust,"Jean-Paul Daoust (born January 30, 1946) is a Canadian poet. He won the  for  at the  for Les Cendres bleues.
"
Jim David,"Jim David is an  , actor and writer. He is originally from , and lives in .
"
Christopher Davis,"Christopher Davis (born 1950) is an  writer. He is best known for his -themed novels Valley of the Shadow (1988), which was a shortlisted nominee for the  at the  in 1989, and Philadelphia (1994), a  of the 1993 drama film .
"
Tanya Davis,"
"
Amber Dawn,"
"
Samuel R. Delany,"
"
A. M. Dellamonica,"Alyxandra Margaret ""A. M."" Dellamonica (born February 25, 1968) is a Canadian  writer who has published over forty short stories in the field since the 1980s. Dellamonica writes in a number of  including science fiction, , and . Their stories have been selected for ""Year's Best"" science fiction  in 2002 and 2007.
"
David Demchuk,"David Demchuk is a  playwright and novelist, who received a longlisted  nomination in 2017 for his debut novel The Bone Mother.
"
Joel Derfner,"
"
Augusto D'Halmar,"Augusto Goemine Thomson, who adopted the pseudonym Augusto d’Halmar (April 23, 1882 – January 27, 1950) was a  writer who earned the National Prize for Literature in 1942.
"
Emily Dickinson,"
"
Joe DiPietro,"
"
Thomas Disch,"
"
Farzana Doctor,"
"
John Donne,"
"
